"SchoolYear","State","LEA_ID","LEA","Group","Description","Value","Value_Min","Value_Max","Denominator","Grade","Subject"
"2016-2017","OHIO",3910010,"Miami Trace Local",583,"Performance on Statewide Mathematics Assessment","GE90",90,100,58,"High School","Mathematics"
"2016-2017","OHIO",3910011,"Washington Court House City",583,"Performance on Statewide Mathematics Assessment","55-59",55,59,96,"High School","Mathematics"
"2016-2017","OHIO",3910012,"Mount Vernon City",583,"Performance on Statewide Mathematics Assessment","65-69",65,69,179,"High School","Mathematics"
"2016-2017","OHIO",3910013,"East Knox Local",583,"Performance on Statewide Mathematics Assessment","25-29",25,29,88,"High School","Mathematics"
"2016-2017","OHIO",3910014,"Riverside Local",583,"Performance on Statewide Mathematics Assessment","52",52,52,363,"High School","Mathematics"
"2016-2017","OHIO",3910015,"Painesville City Local",583,"Performance on Statewide Mathematics Assessment","20-24",20,24,188,"High School","Mathematics"
"2016-2017","OHIO",3910016,"Orange City",583,"Performance on Statewide Mathematics Assessment","70-74",70,74,130,"High School","Mathematics"
"2016-2017","OHIO",3910017,"Bedford City",583,"Performance on Statewide Mathematics Assessment","40-44",40,44,235,"High School","Mathematics"
"2016-2017","OHIO",3910018,"Warren Local",583,"Performance on Statewide Mathematics Assessment","45-49",45,49,149,"High School","Mathematics"
"2016-2017","OHIO",3910019,"Marietta City",583,"Performance on Statewide Mathematics Assessment","35-39",35,39,215,"High School","Mathematics"
"2016-2017","OHIO",3910020,"Clyde-Green Springs Exempted Village",583,"Performance on Statewide Mathematics Assessment","45-49",45,49,116,"High School","Mathematics"
"2016-2017","OHIO",3910021,"Old Fort Local",583,"Performance on Statewide Mathematics Assessment","40-49",40,49,43,"High School","Mathematics"
"2016-2017","OHIO",3910022,"Lincolnview Local",583,"Performance on Statewide Mathematics Assessment","20-29",20,29,36,"High School","Mathematics"
"2016-2017","OHIO",3910023,"Van Wert City",583,"Performance on Statewide Mathematics Assessment","60-64",60,64,138,"High School","Mathematics"
"2016-2017","OHIO",3910024,"Upper Sandusky Exempted Village",583,"Performance on Statewide Mathematics Assessment","35-39",35,39,119,"High School","Mathematics"
"2016-2017","OHIO",3910025,"Kenton City",583,"Performance on Statewide Mathematics Assessment","30-34",30,34,131,"High School","Mathematics"
"2016-2017","OHIO",3910026,"Clay Local",583,"Performance on Statewide Mathematics Assessment","20-29",20,29,43,"High School","Mathematics"
"2016-2017","OHIO",3910027,"Portsmouth City",583,"Performance on Statewide Mathematics Assessment","50-54",50,54,82,"High School","Mathematics"
"2016-2017","OHIO",3910028,"Rittman Exempted Village",583,"Performance on Statewide Mathematics Assessment","70-74",70,74,70,"High School","Mathematics"
"2016-2017","OHIO",3910029,"Wadsworth City",583,"Performance on Statewide Mathematics Assessment","70",70,70,416,"High School","Mathematics"
"2016-2017","OHIO",3910030,"Celina City",583,"Performance on Statewide Mathematics Assessment","65-69",65,69,158,"High School","Mathematics"
"2016-2017","OHIO",3910031,"Marion Local",583,"Performance on Statewide Mathematics Assessment","90-94",90,94,63,"High School","Mathematics"
"2016-2017","OHIO",3910032,"Wooster City",583,"Performance on Statewide Mathematics Assessment","40-44",40,44,245,"High School","Mathematics"
"2016-2017","OHIO",3910033,"Northwestern Local",583,"Performance on Statewide Mathematics Assessment","35-39",35,39,123,"High School","Mathematics"
"2016-2017","OHIO",3900022,"Autism Model School",584,"Performance on Statewide Reading/Language Arts Assessment","GE50",50,100,6,"High School","Reading/Language Arts"
"2016-2017","OHIO",3900031,"Cincinnati College Preparatory Academy",584,"Performance on Statewide Reading/Language Arts Assessment","20-29",20,29,40,"High School","Reading/Language Arts"
"2016-2017","OHIO",3900040,"Horizon Science Acad Cleveland",584,"Performance on Statewide Reading/Language Arts Assessment","40-44",40,44,111,"High School","Reading/Language Arts"
"2016-2017","OHIO",3900042,"Horizon Science Academy Columbus",584,"Performance on Statewide Reading/Language Arts Assessment","40-44",40,44,121,"High School","Reading/Language Arts"
"2016-2017","OHIO",3900050,"Life Skills Ctr Of Youngstown",584,"Performance on Statewide Reading/Language Arts Assessment",".",NA,NA,0,"High School","Reading/Language Arts"
"2016-2017","OHIO",3900052,"Invictus High School",584,"Performance on Statewide Reading/Language Arts Assessment","LT50",0,50,8,"High School","Reading/Language Arts"
"2016-2017","OHIO",3900053,"Towpath Trail High School",584,"Performance on Statewide Reading/Language Arts Assessment","LE20",0,20,16,"High School","Reading/Language Arts"
"2016-2017","OHIO",3900056,"Toledo School For The Arts",584,"Performance on Statewide Reading/Language Arts Assessment","90-94",90,94,96,"High School","Reading/Language Arts"
"2016-2017","OHIO",3900063,"North Central Ohio ESC",584,"Performance on Statewide Reading/Language Arts Assessment","40-49",40,49,49,"High School","Reading/Language Arts"
"2016-2017","OHIO",3900068,"Constellation Schools: Parma Community",584,"Performance on Statewide Reading/Language Arts Assessment","65-69",65,69,110,"High School","Reading/Language Arts"
"2016-2017","OHIO",3900077,"Lighthouse Community Sch Inc",584,"Performance on Statewide Reading/Language Arts Assessment","LT50",0,50,8,"High School","Reading/Language Arts"
"2016-2017","OHIO",3900079,"Electronic Classroom Of Tomorrow",584,"Performance on Statewide Reading/Language Arts Assessment","34",34,34,1639,"High School","Reading/Language Arts"
"2016-2017","OHIO",3900080,"Graham School, The",584,"Performance on Statewide Reading/Language Arts Assessment","35-39",35,39,67,"High School","Reading/Language Arts"
